CD_CIN Number,BS_Long-Term Borrowings,BS_Year End
L65990MH1994PLC083603,0,201503
L65990MH1994PLC083603,0,201403
L65990MH1994PLC083603,0,201303
L65990MH1994PLC083603,0,201203
L65990MH1994PLC083603,0,201103
L67120DL1984PLC018748,0,201703
L67120DL1984PLC018748,0,201603
L67120DL1984PLC018748,0,201503
L67120DL1984PLC018748,0,201403
L67120DL1984PLC018748,8239374,201303
L67120DL1984PLC018748,10176877,201203
L67120DL1984PLC018748,8479226,201103
L51491PN1993PLC073706,0,201703
L51491PN1993PLC073706,0,201603
L51491PN1993PLC073706,0,201503
L51491PN1993PLC073706,0,201403
L51491PN1993PLC073706,0,201303
L51491PN1993PLC073706,0,201203
L51491PN1993PLC073706,1754603000,201103
U65910RJ1995PTC009648,59857,201703
U65910RJ1995PTC009648,40403,201603
U65910RJ1995PTC009648,465403,201503
U65910RJ1995PTC009648,0,201403
U65910RJ1995PTC009648,0,201303
U65910RJ1995PTC009648,0,201203
U65910RJ1995PTC009648,0,201103
L45204DL1984PLC018802,1200000,201703
L45204DL1984PLC018802,2390000,201603
L45204DL1984PLC018802,0,201503
L45204DL1984PLC018802,0,201403
L45204DL1984PLC018802,0,201303
L45204DL1984PLC018802,0,201203
L45204DL1984PLC018802,0,201103
L65993TN1993PLC024861,0,201703
L65993TN1993PLC024861,0,201603
L65993TN1993PLC024861,0,201503
L65993TN1993PLC024861,0,201403
L65993TN1993PLC024861,0,201303
L65993TN1993PLC024861,0,201203
L65993TN1993PLC024861,0,201103
L51909DL1983PLC015585,0,201703
L51909DL1983PLC015585,0,201603
L51909DL1983PLC015585,0,201503
L51909DL1983PLC015585,0,201403
L51909DL1983PLC015585,0,201303
L51909DL1983PLC015585,0,201203
L51909DL1983PLC015585,0,201103
L67190MH1993PLC113638,0,201703
L67190MH1993PLC113638,0,201603
L67190MH1993PLC113638,0,201503
L67190MH1993PLC113638,0,201403
L67190MH1993PLC113638,0,201303
L67190MH1993PLC113638,0,201203
L67190MH1993PLC113638,0,201103
L26940MH1936PLC002515,0,201612
L26940MH1936PLC002515,0,201512
L26940MH1936PLC002515,0,201412
L26940MH1936PLC002515,0,201312
L26940MH1936PLC002515,850300000,201212
L26940MH1936PLC002515,5060800000,201112
L30006TN1995PLC031736,534200000,201703
L30006TN1995PLC031736,543600000,201603
L30006TN1995PLC031736,519000000,201503
L30006TN1995PLC031736,304100000,201403
L30006TN1995PLC031736,103130000,201303
L30006TN1995PLC031736,94858000,201203
L30006TN1995PLC031736,1036000,201103
L30007KL1986PLC004485,238985255,201703
L30007KL1986PLC004485,229668948,201603
L30007KL1986PLC004485,194947744,201503
L30007KL1986PLC004485,149141934,201403
L30007KL1986PLC004485,85162753,201303
L30007KL1986PLC004485,96951912,201203
L30007KL1986PLC004485,160412266,201103
L74140PN1986PLC041033,0,201706
L74140PN1986PLC041033,0,201606
L74140PN1986PLC041033,0,201506
L74140PN1986PLC041033,0,201406
L74140PN1986PLC041033,44900,201306
L74140PN1986PLC041033,681208,201206
L74140PN1986PLC041033,4297281,201106
U45200GJ2014PLC079847,84239435,201703
U45200GJ2014PLC079847,112055211,201603
U45200GJ2014PLC079847,59485251,201503
L29299DL1993PLC201811,0,201703
L29299DL1993PLC201811,0,201603
L29299DL1993PLC201811,0,201503
L29299DL1993PLC201811,0,201403
L29299DL1993PLC201811,0,201303
L29299DL1993PLC201811,22369212,201203
L29299DL1993PLC201811,3619212,201103
U74140DL1997PLC088373,13914671,201703
U74140DL1997PLC088373,18100389,201603
U74140DL1997PLC088373,870000,201503
U74140DL1997PLC088373,907000,201403
U74140DL1997PLC088373,1101000,201303
U74140DL1997PLC088373,1197000,201203
L27109WB1980PLC033134,0,201703
L27109WB1980PLC033134,0,201603
L27109WB1980PLC033134,0,201503
L27109WB1980PLC033134,0,201403
L27109WB1980PLC033134,0,201303
L27109WB1980PLC033134,0,201203
L27109WB1980PLC033134,0,201103
L72200GJ1994PLC022781,0,201703
L72200GJ1994PLC022781,0,201603
L72200GJ1994PLC022781,0,201503
L72200GJ1994PLC022781,0,201403
L72200GJ1994PLC022781,0,201303
L72200GJ1994PLC022781,0,201203
L72200GJ1994PLC022781,0,201103
L65993DL1980PLC010636,0,201703
L65993DL1980PLC010636,0,201603
L65993DL1980PLC010636,0,201503
L65993DL1980PLC010636,0,201403
L65993DL1980PLC010636,0,201303
L65993DL1980PLC010636,0,201203
L65993DL1980PLC010636,974038,201103
L72200MH1982PLC175476,0,201703
L72200MH1982PLC175476,0,201603
L72200MH1982PLC175476,0,201503
L72200MH1982PLC175476,0,201403
L72200MH1982PLC175476,0,201303
L72200MH1982PLC175476,0,201203
L72200MH1982PLC175476,0,201103
L01113WB1990PLC050020,79431502,201703
L01113WB1990PLC050020,98399639,201603
L01113WB1990PLC050020,69442802,201503
L01113WB1990PLC050020,59090865,201403
L01113WB1990PLC050020,66987000,201303
L01113WB1990PLC050020,79783296,201203
L01113WB1990PLC050020,63729000,201103
L65993WB1985PLC082197,465856286,201703
L65993WB1985PLC082197,626296065,201603
L65993WB1985PLC082197,759567767,201503
L65993WB1985PLC082197,629648777,201403
L65993WB1985PLC082197,334741947,201303
L65993WB1985PLC082197,561525702,201203
L65993WB1985PLC082197,513360184,201103
U40106HR2015PLC055641,20384420000,201703
U40106HR2015PLC055641,0,201603
L13100MH1960PLC011601,2828000,201703
L13100MH1960PLC011601,5333000,201603
L13100MH1960PLC011601,8562000,201503
L13100MH1960PLC011601,11330000,201403
L13100MH1960PLC011601,13584000,201303
L13100MH1960PLC011601,13970000,201203
L13100MH1960PLC011601,14692000,201103
L26914MH1987PLC042283,69312686,201703
L26914MH1987PLC042283,55118128,201603
L26914MH1987PLC042283,91317677,201503
L26914MH1987PLC042283,106111027,201403
L26914MH1987PLC042283,32218410,201303
L26914MH1987PLC042283,18847878,201203
L26914MH1987PLC042283,24645091,201103
L74899DL1995PLC064347,376567000,201703
L74899DL1995PLC064347,239689000,201603
L74899DL1995PLC064347,317319000,201503
L74899DL1995PLC064347,394608000,201403
L74899DL1995PLC064347,232380000,201303
L74899DL1995PLC064347,245117000,201203
L74899DL1995PLC064347,0,201103
L65944MH1992PLC068879,1364756,201703
L65944MH1992PLC068879,402334,201603
L65944MH1992PLC068879,0,201503
L65944MH1992PLC068879,0,201403
L65944MH1992PLC068879,1972021,201303
L65944MH1992PLC068879,2688403,201203
L65944MH1992PLC068879,4815560,201103
L51100GJ1993PLC019067,18578200000,201703
L51100GJ1993PLC019067,19113300000,201603
L51100GJ1993PLC019067,25351500000,201503
L51100GJ1993PLC019067,20405800000,201403
L51100GJ1993PLC019067,14900000000,201303
L51100GJ1993PLC019067,8577000000,201203
L51100GJ1993PLC019067,1500000000,201103
L63090GJ1998PLC034182,161605700000,201703
L63090GJ1998PLC034182,102470500000,201603
L63090GJ1998PLC034182,84991100000,201503
L63090GJ1998PLC034182,78612200000,201403
L63090GJ1998PLC034182,74046100000,201303
L63090GJ1998PLC034182,41328100000,201203
L63090GJ1998PLC034182,9476745000,201103
L40100GJ1996PLC030533,172274100000,201703
L40100GJ1996PLC030533,147198100000,201603
L40100GJ1996PLC030533,167029700000,201503
L40100GJ1996PLC030533,176031600000,201403
L40100GJ1996PLC030533,207528000000,201303
L40100GJ1996PLC030533,185454400000,201203
L40100GJ1996PLC030533,145735100000,201103
L40300GJ2013PLC077803,67554700000,201703
L40300GJ2013PLC077803,26922800000,201603
L40300GJ2013PLC077803,0,201503
L40300GJ2013PLC077803,0,201403
L51109WB1992PLC055082,0,201703
L51109WB1992PLC055082,0,201603
L51109WB1992PLC055082,0,201503
L51109WB1992PLC055082,0,201403
L51109WB1992PLC055082,0,201303
L51109WB1992PLC055082,0,201203
L51109WB1992PLC055082,0,201103
L29210GJ1992PLC017845,26646421,201703
L29210GJ1992PLC017845,19483782,201603
L29210GJ1992PLC017845,19366140,201503
L29210GJ1992PLC017845,4661462,201403
L29210GJ1992PLC017845,230000,201303
L29210GJ1992PLC017845,0,201203
L29210GJ1992PLC017845,22964956,201103
L32209KA1988PLC009313,0,201703
L32209KA1988PLC009313,0,201603
L32209KA1988PLC009313,0,201503
L32209KA1988PLC009313,0,201403
L32209KA1988PLC009313,0,201303
L32209KA1988PLC009313,0,201203
L32209KA1988PLC009313,0,201109
L67120MP1994PLC008511,0,201703
L67120MP1994PLC008511,0,201603
L67120MP1994PLC008511,0,201503
L67120MP1994PLC008511,0,201403
L67120MP1994PLC008511,0,201303
L67120MP1994PLC008511,0,201203
L67120MP1994PLC008511,0,201103
L51109UP1980PLC022154,0,201703
